,hemisphere_id,id,is_injection,max_voxel_density,max_voxel_x,max_voxel_y,max_voxel_z,normalized_projection_volume,projection_density,projection_energy,projection_intensity,projection_volume,experiment_id,structure_id,sum_pixel_intensity,sum_pixels,sum_projection_pixel_intensity,sum_projection_pixels,volume
0,2,636150975,False,0.50861269235611,9230,5430,9780,0.000847445172841254,0.00123546947725117,0.677663028240204,548.506469726562,0.0008970007375,307558646,52,107784724480.0,592686016.0,401641408.0,732245.5,0.7260403696
1,3,636152660,False,0.463809788227081,9460,3050,7600,0.00108066745491148,0.000233382127331985,0.0965580928584715,413.733879120564,0.00114386102501221,307558646,4,646855155712.0,4001009472.0,386329844.125,933764.102050781,4.9012366032
2,2,636150946,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,307558646,12,1973649536.0,39058200.0,0.0,0.0,0.047846295
3,1,636152581,False,1.0,8500,1850,2560,0.00436398522959801,0.219128057360649,478.508514404297,2183.69360351562,0.0046191754875,307558646,121,13225947136.0,17208000.0,8234174464.0,3770755.5,0.0210798
4,1,636152600,False,0.67887943983078,6750,5180,1420,0.000304098419365226,7.39679860268586e-05,0.0428965224528879,579.933627465695,0.000321881007981491,307558646,95,729374082384.0,3552347720.0,152383363.731445,262760.006515503,4.351625957
5,3,636152780,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,307558646,177,2982031104.0,26992800.0,0.0,0.0,0.03306618
6,3,636153445,False,0.474770754575729,11350,1480,4600,0.000231543031740126,3.30515562013133e-05,0.00575919011155956,174.248682164343,0.000245082840625,307558646,1091,1307967488000.0,6053198336.0,34861520.0,200067.625,7.4151679616
7,1,636152428,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,307558646,327,68978335744.0,345339904.0,0.0,0.0,0.4230413824
8,1,636152059,False,0.149817779660225,5380,5130,5530,2.64194021494407e-05,6.67376807541586e-05,0.00580465234816074,86.9771347045898,2.79643143554687e-05,307558646,900,7368182272.0,342055808.0,1985515.0,22828.01171875,0.4190183648
9,1,636152355,False,0.00835653766989708,11790,6070,3400,2.68631469796341e-07,2.79059491958833e-07,1.78938862518407e-05,64.1221160888672,2.84340077972412e-07,307558646,437,53512036352.0,831773696.0,14883.6640625,232.114349365234,1.0189227776
10,3,636153219,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,307558646,812,112234568.0,41688000.0,0.0,0.0,0.0510678
11,3,636153472,False,0.00790491979569197,7640,6500,5960,3.01325903554882e-08,8.10210484023266e-07,0.000317145018616541,391.435342877437,3.18946365356445e-08,307558646,1126,3453714432.0,32135400.0,10191.58203125,26.0364379882812,0.039365865
12,3,636153489,True,1.0,8740,1590,8140,1.63234390450484e-05,1.0,11809.0837322527,11809.0837322527,1.72779754150391e-05,307558646,484682512,166560864.0,14104.4697265625,166560864.0,14104.4697265625,1.72779754150391e-05
13,2,636151478,False,0.521038949489594,3900,4230,8310,0.000288548138566739,0.000708757084794343,0.510212898254395,719.869934082031,0.00030542140234375,307558646,783,83755778048.0,351775808.0,179480560.0,249323.59375,0.4309253648
14,1,636152220,False,0.0644096732139587,7030,7360,3000,2.56715279569214e-06,4.09976019000169e-06,0.00113946781493723,277.935241699219,2.71727071533203e-06,307558646,655,96284311552.0,541051200.0,616510.4375,2218.18017578125,0.66278772
15,3,636152968,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,307558646,429,85868699648.0,1512811776.0,0.0,0.0,1.8531944256
16,3,636152739,False,1.0,8500,1850,2560,0.0190914738603797,0.479384940868719,1377.72768539385,2873.94861193845,0.0202078750125,307558646,121,56073025080.0,34411228.0,47409301504.0,16496224.5,0.0421537543
17,1,636152286,False,0.0275555923581123,8410,6780,2110,1.55822564786201e-06,2.12996542359178e-06,0.000364485429599881,171.122711181641,1.64934511413574e-06,307558646,566,98760065024.0,632124928.0,230400.328125,1346.40417480469,0.7743530368
18,2,636151737,False,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,307558646,1107,13975868416.0,419008512.0,0.0,0.0,0.5132854272
